0,1
Datasets\CHoiCe-Dataset-main\data-bin\39\D (37).png,D
Datasets\CHoiCe-Dataset-main\data-bin\16\g (23).png,g
Datasets\CHoiCe-Dataset-main\data-bin\01\1 (49).png,1
Datasets\CHoiCe-Dataset-main\data-bin\18\i (31).png,i
Datasets\CHoiCe-Dataset-main\data-bin\16\g (25).png,g
Datasets\CHoiCe-Dataset-main\data-bin\38\C (51).png,C
Datasets\CHoiCe-Dataset-main\data-bin\00\0 (59).png,0
Datasets\CHoiCe-Dataset-main\data-bin\51\P (34).png,P
Datasets\CHoiCe-Dataset-main\data-bin\36\A (12).png,A
Datasets\CHoiCe-Dataset-main\data-bin\51\P (43).png,P
Datasets\CHoiCe-Dataset-main\data-bin\57\V (22).png,V
Datasets\CHoiCe-Dataset-main\data-bin\17\h (31).png,h
Datasets\CHoiCe-Dataset-main\data-bin\54\S (11).png,S
Datasets\CHoiCe-Dataset-main\data-bin\31\v (07).png,v
Datasets\CHoiCe-Dataset-main\data-bin\40\E (48).png,E
Datasets\CHoiCe-Dataset-main\data-bin\38\C (67).png,C
Datasets\CHoiCe-Dataset-main\data-bin\22\m (30).png,m
Datasets\CHoiCe-Dataset-main\data-bin\00\0 (18).png,0
Datasets\CHoiCe-Dataset-main\data-bin\54\S (59).png,S
Datasets\CHoiCe-Dataset-main\data-bin\38\C (64).png,C
Datasets\CHoiCe-Dataset-main\data-bin\19\j (22).png,j
Datasets\CHoiCe-Dataset-main\data-bin\38\C (20).png,C
Datasets\CHoiCe-Dataset-main\data-bin\46\K (34).png,K
Datasets\CHoiCe-Dataset-main\data-bin\28\s (25).png,s
Datasets\CHoiCe-Dataset-main\data-bin\09\9 (05).png,9
Datasets\CHoiCe-Dataset-main\data-bin\05\5 (19).png,5
Datasets\CHoiCe-Dataset-main\data-bin\37\B (23).png,B
Datasets\CHoiCe-Dataset-main\data-bin\21\l (33).png,l
Datasets\CHoiCe-Dataset-main\data-bin\02\2 (43).png,2
Datasets\CHoiCe-Dataset-main\data-bin\44\I (13).png,I
Datasets\CHoiCe-Dataset-main\data-bin\43\H (24).png,H
Datasets\CHoiCe-Dataset-main\data-bin\18\i (37).png,i
Datasets\CHoiCe-Dataset-main\data-bin\49\N (19).png,N
Datasets\CHoiCe-Dataset-main\data-bin\29\t (18).png,t
Datasets\CHoiCe-Dataset-main\data-bin\34\y (27).png,y
Datasets\CHoiCe-Dataset-main\data-bin\50\O (11).png,O
Datasets\CHoiCe-Dataset-main\data-bin\00\0 (21).png,0
Datasets\CHoiCe-Dataset-main\data-bin\49\N (63).png,N
Datasets\CHoiCe-Dataset-main\data-bin\49\N (33).png,N
Datasets\CHoiCe-Dataset-main\data-bin\03\3 (59).png,3
Datasets\CHoiCe-Dataset-main\data-bin\44\I (22).png,I
Datasets\CHoiCe-Dataset-main\data-bin\33\x (27).png,x
Datasets\CHoiCe-Dataset-main\data-bin\08\8 (33).png,8
Datasets\CHoiCe-Dataset-main\data-bin\60\Y (27).png,Y
Datasets\CHoiCe-Dataset-main\data-bin\09\9 (46).png,9
Datasets\CHoiCe-Dataset-main\data-bin\07\7 (31).png,7
Datasets\CHoiCe-Dataset-main\data-bin\22\m (33).png,m
Datasets\CHoiCe-Dataset-main\data-bin\61\Z (01).png,Z
Datasets\CHoiCe-Dataset-main\data-bin\42\G (09).png,G
Datasets\CHoiCe-Dataset-main\data-bin\42\G (22).png,G
Datasets\CHoiCe-Dataset-main\data-bin\14\e (30).png,e
Datasets\CHoiCe-Dataset-main\data-bin\08\8 (16).png,8
Datasets\CHoiCe-Dataset-main\data-bin\29\t (02).png,t
Datasets\CHoiCe-Dataset-main\data-bin\27\r (19).png,r
Datasets\CHoiCe-Dataset-main\data-bin\31\v (02).png,v
Datasets\CHoiCe-Dataset-main\data-bin\60\Y (29).png,Y
Datasets\CHoiCe-Dataset-main\data-bin\29\t (38).png,t
Datasets\CHoiCe-Dataset-main\data-bin\03\3 (25).png,3
Datasets\CHoiCe-Dataset-main\data-bin\14\e (38).png,e
Datasets\CHoiCe-Dataset-main\data-bin\54\S (19).png,S
Datasets\CHoiCe-Dataset-main\data-bin\09\9 (24).png,9
Datasets\CHoiCe-Dataset-main\data-bin\03\3 (13).png,3
Datasets\CHoiCe-Dataset-main\data-bin\39\D (10).png,D
Datasets\CHoiCe-Dataset-main\data-bin\40\E (47).png,E
Datasets\CHoiCe-Dataset-main\data-bin\17\h (05).png,h
Datasets\CHoiCe-Dataset-main\data-bin\49\N (60).png,N
Datasets\CHoiCe-Dataset-main\data-bin\56\U (13).png,U
Datasets\CHoiCe-Dataset-main\data-bin\52\Q (24).png,Q
Datasets\CHoiCe-Dataset-main\data-bin\18\i (30).png,i
Datasets\CHoiCe-Dataset-main\data-bin\60\Y (30).png,Y
Datasets\CHoiCe-Dataset-main\data-bin\52\Q (21).png,Q
Datasets\CHoiCe-Dataset-main\data-bin\04\4 (06).png,4
Datasets\CHoiCe-Dataset-main\data-bin\23\n (33).png,n
Datasets\CHoiCe-Dataset-main\data-bin\16\g (36).png,g
Datasets\CHoiCe-Dataset-main\data-bin\35\z (33).png,z
Datasets\CHoiCe-Dataset-main\data-bin\00\0 (58).png,0
Datasets\CHoiCe-Dataset-main\data-bin\02\2 (37).png,2
Datasets\CHoiCe-Dataset-main\data-bin\12\c (34).png,c
Datasets\CHoiCe-Dataset-main\data-bin\61\Z (18).png,Z
Datasets\CHoiCe-Dataset-main\data-bin\09\9 (35).png,9
Datasets\CHoiCe-Dataset-main\data-bin\26\q (26).png,q
Datasets\CHoiCe-Dataset-main\data-bin\02\2 (17).png,2
Datasets\CHoiCe-Dataset-main\data-bin\47\L (15).png,L
Datasets\CHoiCe-Dataset-main\data-bin\00\0 (43).png,0
Datasets\CHoiCe-Dataset-main\data-bin\03\3 (01).png,3
Datasets\CHoiCe-Dataset-main\data-bin\59\X (37).png,X
Datasets\CHoiCe-Dataset-main\data-bin\51\P (15).png,P
Datasets\CHoiCe-Dataset-main\data-bin\05\5 (14).png,5
Datasets\CHoiCe-Dataset-main\data-bin\28\s (17).png,s
Datasets\CHoiCe-Dataset-main\data-bin\38\C (55).png,C
Datasets\CHoiCe-Dataset-main\data-bin\55\T (05).png,T
Datasets\CHoiCe-Dataset-main\data-bin\18\i (22).png,i
Datasets\CHoiCe-Dataset-main\data-bin\24\o (33).png,o
Datasets\CHoiCe-Dataset-main\data-bin\03\3 (09).png,3
Datasets\CHoiCe-Dataset-main\data-bin\32\w (19).png,w
Datasets\CHoiCe-Dataset-main\data-bin\38\C (59).png,C
Datasets\CHoiCe-Dataset-main\data-bin\01\1 (47).png,1
Datasets\CHoiCe-Dataset-main\data-bin\02\2 (19).png,2
Datasets\CHoiCe-Dataset-main\data-bin\52\Q (28).png,Q
Datasets\CHoiCe-Dataset-main\data-bin\10\a (49).png,a
