0,1
C:\Users\diego\Downloads\line1\Screenshot 2024-03-28 131225.png,The
C:\Users\diego\Downloads\line1\Screenshot 2024-03-28 131321.png,of
C:\Users\diego\Downloads\line1\Screenshot 2024-03-28 141009.png,alabama
C:\Users\diego\Downloads\line1\Screenshot 2024-03-28 131251.png,state
"C:\Users\diego\Downloads\line1\2024-03-29 15_22_51-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Be
"C:\Users\diego\Downloads\line1\2024-03-29 15_23_03-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",it
"C:\Users\diego\Downloads\line1\2024-03-29 15_23_25-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",remembered
"C:\Users\diego\Downloads\line1\2024-03-29 15_23_51-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",that
"C:\Users\diego\Downloads\line1\2024-03-29 15_24_26-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",there
"C:\Users\diego\Downloads\line1\2024-03-29 15_24_48-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Barbour
"C:\Users\diego\Downloads\line1\2024-03-29 15_25_15-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",County
"C:\Users\diego\Downloads\line1\2024-03-29 15_25_30-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",was
"C:\Users\diego\Downloads\line1\2024-03-29 15_25_41-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",filed
"C:\Users\diego\Downloads\line1\2024-03-29 15_25_58-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",in
"C:\Users\diego\Downloads\line1\2024-03-29 15_26_09-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",the
"C:\Users\diego\Downloads\line1\2024-03-29 15_26_22-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",office
"C:\Users\diego\Downloads\line1\2024-03-29 15_26_41-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",of
"C:\Users\diego\Downloads\line1\2024-03-29 15_26_52-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",the
"C:\Users\diego\Downloads\line1\2024-03-29 15_27_18-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Register
